model_name|||release_date|||body|||os|||storage_prnt|||display_size|||resolution|||camera_pixel|||pixel_unit|||video_pixel|||ram_prnt|||ram_unit|||chipset|||battery_size|||battery_unit|||battery_type|||sim_slots|||colors|||storage|||ram|||image
BlackBerry A10|||Cancelled|||9.4mm thickness|||BlackBerry OS 10.2|||16GB storage, microSDXC|||5.0"|||720x1280 pixels|||8|||MP|||1080p|||2|||GB RAM|||Snapdragon S4 Pro|||2800|||mAh|||Li-Ion|||1|||Black|||16GB|||2GB|||https://fdn2.gsmarena.com/vv/bigpic/blackberry-a10.jpg
BlackBerry Motion|||Released 2017, December|||167g, 8.1mm thickness|||Android 7.1|||32GB storage, microSDXC|||5.5"|||1080x1920 pixels|||12|||MP|||2160p|||4|||GB RAM|||Snapdragon 625|||4000|||mAh|||Li-Ion|||2|||Black|||32GB|||4GB|||https://fdn2.gsmarena.com/vv/bigpic/blackberry-motion.jpg
BlackBerry 7730|||Released 2004, Q1|||142g, 18mm thickness|||BlackBerry OS|||16MB 2MB RAM storage, no card slot|||3.0"|||240x240 pixels|||MISSING|||MISSING|||No video recorder|||2|||MB RAM|||MISSING|||MISSING|||MISSING|||Li-Ion|||1|||MISSING|||16MB|||2MB|||https://fdn2.gsmarena.com/vv/bigpic/bb7730.gif
BlackBerry Curve 3G 9330|||Released 2010, September|||104g, 13.9mm thickness|||BlackBerry OS 5.0, up|||512MB RAM storage, microSDHC slot|||2.46"|||320x240 pixels|||2|||MP|||Video recorder|||512|||MB RAM|||MISSING|||1150|||mAh|||Li-Ion|||1|||Black, Red, Pink|||512MB|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/blackberry-curve-3g-9330.jpg
BlackBerry Curve 9370|||Released 2011, September|||99g, 11mm thickness|||BlackBerry OS 7.0|||1GB 512MB RAM storage, microSDHC slot|||2.44"|||480x360 pixels|||5|||MP|||480p|||512|||MB RAM|||MISSING|||1000|||mAh|||Li-Ion|||1|||Black|||1GB|||512MB|||https://fdn2.gsmarena.com/vv/bigpic/blackberry-curve-9350-9360-9370.jpg
BlackBerry Bold 9000|||Released 2008, May|||133g, 14mm thickness|||BlackBerry OS|||1GB 128MB RAM storage, microSDHC slot|||2.6"|||480x320 pixels|||2|||MP|||Video recorder|||128|||MB RAM|||MISSING|||1500|||mAh|||Li-Ion|||1|||Black, White|||1GB|||128MB|||https://fdn2.gsmarena.com/vv/bigpic/blackberry-bold.jpg
BlackBerry Porsche Design P'9982|||Released 2013, December|||140g, 9.5mm thickness|||BlackBerry OS 10.2, up to 10.2.1|||64GB storage, microSDXC|||4.2"|||768x1280 pixels|||8|||MP|||1080p|||2|||GB RAM|||Snapdragon S4 Pro|||1800|||mAh|||Li-Ion|||1|||Silver|||64GB|||2GB|||https://fdn2.gsmarena.com/vv/bigpic/BlackBerry-Porsche-Design-P9982.jpg
BlackBerry Z10|||Released 2013, January|||137.5g, 9mm thickness|||BlackBerry OS 10, up to 10.3.1|||16GB storage, microSDXC|||4.2"|||768x1280 pixels|||8|||MP|||1080p|||2|||GB RAM|||Snapdragon S4 Plus|||1800|||mAh|||Li-Ion|||1|||Black, White|||16GB|||2GB|||https://fdn2.gsmarena.com/vv/bigpic/blackberry-z10-ofic.jpg
BlackBerry Bold Touch 9900|||Released 2011, August|||130g, 10.5mm thickness|||BlackBerry OS 7.0|||8GB storage, microSDHC|||2.8"|||640x480 pixels|||5|||MP|||720p|||768|||MB RAM|||MISSING|||1230|||mAh|||Li-Ion|||1|||Black, White|||8GB|||768MB|||https://fdn2.gsmarena.com/vv/bigpic/blackberry-bold-touch-9900.jpg
BlackBerry Pearl 8110|||Released 2008, January|||91g, 14mm thickness|||BlackBerry OS|||32MB RAM storage, microSDHC slot|||2.2"|||240x260 pixels|||2|||MP|||Video recorder|||32|||MB RAM|||MISSING|||900|||mAh|||Li-Ion|||1|||Black, Blue|||32MB,64MB|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/blackberry-8110.jpg
BlackBerry Storm2 9520|||Released 2009, November|||160g, 14mm thickness|||BlackBerry OS|||2GB storage, microSDHC slot|||3.25"|||360x480 pixels|||3|||MP|||Video recorder|||MISSING|||MISSING|||MISSING|||1400|||mAh|||Li-Ion|||1|||Black|||2GB|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/bb-storm2-new1.jpg
BlackBerry Pearl 3G 9105|||Released 2010, April|||93.6g, 13.3mm thickness|||BlackBerry OS 5, up|||256MB storage, microSDHC slot|||2.25"|||360x400 pixels|||3|||MP|||480p|||MISSING|||MISSING|||MISSING|||1150|||mAh|||Li-Ion|||1|||Piano Black, Opal Pink, Royal Purple, Flash White, Red Gradient|||256MB|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/BlackBerry-pearl-3g-9105.jpg
