model_name|||release_date|||body|||os|||storage_prnt|||display_size|||resolution|||camera_pixel|||pixel_unit|||video_pixel|||ram_prnt|||ram_unit|||chipset|||battery_size|||battery_unit|||battery_type|||sim_slots|||colors|||storage|||ram|||image
Google Pixel 2 XL|||Released 2017, October 17|||175g, 7.9mm thickness|||Android 8.0, up to Android 11|||64GB/128GB storage, no card slot|||6.0"|||1440x2880 pixels|||12|||MP|||2160p|||4|||GB RAM|||Snapdragon 835|||3520|||mAh|||Li-Ion|||1|||Just Black, Black & White|||64GB,128GB|||4GB|||https://fdn2.gsmarena.com/vv/bigpic/google-pixel-xl2-.jpg
Google Pixel 3a XL|||Released 2019, May 15|||167g, 8.2mm thickness|||Android 9.0, up to Android 12|||64GB storage, no card slot|||6.0"|||1080x2160 pixels|||12|||MP|||2160p|||4|||GB RAM|||Snapdragon 670|||3700|||mAh|||Li-Po|||1|||Just Black, Clearly White, Purple-ish|||64GB|||4GB|||https://fdn2.gsmarena.com/vv/bigpic/google-pixel-3a-xl-.jpg
Google Pixel 4a 5G|||Released 2020, November 05|||168g (5G Sub-6); 171g ( 5G Sub-6 and mmWave), 8.2mm thickness|||Android 11, up to Android 12|||128GB storage, no card slot|||6.2"|||1080x2340 pixels|||16|||MP|||2160p|||6|||GB RAM|||Snapdragon 765G 5G|||3885|||mAh|||Li-Po|||1|||Just Black|||128GB|||6GB|||https://fdn2.gsmarena.com/vv/bigpic/google-pixel-4a-5g.jpg
Google Pixel 6 Pro|||Released 2021, October 28|||210g, 8.9mm thickness|||Android 12|||128GB/256GB/512GB storage, no card slot|||6.71"|||1440x3120 pixels|||50|||MP|||2160p|||12|||GB RAM|||Google Tensor|||5003|||mAh|||Li-Ion|||1|||Cloudy White, Sorta Sunny, Stormy Black|||128GB,256GB,512GB|||12GB|||https://fdn2.gsmarena.com/vv/bigpic/google-pixel-6-pro.jpg
Google Pixel 4|||Released 2019, October 22|||162g, 8.2mm thickness|||Android 10, up to Android 12|||64GB/128GB storage, no card slot|||5.7"|||1080x2280 pixels|||16|||MP|||2160p|||6|||GB RAM|||Snapdragon 855|||2800|||mAh|||Li-Po|||1|||Clearly White, Just Black, Oh So Orange|||64GB,128GB|||6GB|||https://fdn2.gsmarena.com/vv/bigpic/google-pixel-4-r1.jpg
Google Pixel 4 XL|||Released 2019, October 22|||193g, 8.2mm thickness|||Android 10, up to Android 12|||64GB/128GB storage, no card slot|||6.3"|||1440x3040 pixels|||16|||MP|||2160p|||6|||GB RAM|||Snapdragon 855|||3700|||mAh|||Li-Po|||1|||Clearly White, Just Black, Oh So Orange|||64GB,128GB|||6GB|||https://fdn2.gsmarena.com/vv/bigpic/google-pixel-4-r1.jpg
Google Pixel C|||Released 2015, December 08|||517g, 7mm thickness|||Android 6.0.1, up to Android 8.0|||32GB/64GB storage, no card slot|||10.2"|||2560x1800 pixels|||8|||MP|||1080p|||3|||GB RAM|||Nvidia Tegra X1|||9240|||mAh|||Li-Po|||1|||Silver Aluminum|||32GB,64GB|||3GB|||https://fdn2.gsmarena.com/vv/bigpic/google-pixel-c--.jpg
Google Pixel XL|||Released 2016, October 20|||168g, 8.5mm thickness|||Android 7.1, up to Android 10|||32GB/128GB storage, no card slot|||5.5"|||1440x2560 pixels|||12|||MP|||2160p|||4|||GB RAM|||Snapdragon 821|||3450|||mAh|||Li-Ion|||1|||Quite Black, Very Silver, Really Blue|||32GB,128GB|||4GB|||https://fdn2.gsmarena.com/vv/bigpic/google-pixel-xl.jpg
Google Pixel 3 XL|||Released 2018, October 18|||184g, 7.9mm thickness|||Android 9.0, up to Android 12|||64GB/128GB storage, no card slot|||6.3"|||1440x2960 pixels|||12|||MP|||2160p|||4|||GB RAM|||Snapdragon 845|||3430|||mAh|||Li-Po|||1|||Clearly White, Just Black, Not Pink|||64GB,128GB|||4GB|||https://fdn2.gsmarena.com/vv/bigpic/google-pixel-3xl-.jpg
Google Pixel 4a|||Released 2020, August 20|||143g, 8.2mm thickness|||Android 10, up to Android 12|||128GB storage, no card slot|||5.81"|||1080x2340 pixels|||12|||MP|||2160p|||6|||GB RAM|||Snapdragon 730G|||3140|||mAh|||Li-Po|||1|||Just Black, Barely Blue|||128GB|||6GB|||https://fdn2.gsmarena.com/vv/bigpic/google-pixel-4a.jpg
Google Pixel 6|||Released 2021, October 28|||207g, 8.9mm thickness|||Android 12|||128GB/256GB storage, no card slot|||6.4"|||1080x2400 pixels|||50|||MP|||2160p|||8|||GB RAM|||Google Tensor|||4614|||mAh|||Li-Ion|||1|||Sorta Seafoam, Kinda Coral, Stormy Black|||128GB,256GB|||8GB|||https://fdn2.gsmarena.com/vv/bigpic/google-pixel-6.jpg
Google Pixel 5a 5G|||Released 2021, August 26|||183g, 7.6mm thickness|||Android 11, up to Android 12|||128GB storage, no card slot|||6.34"|||1080x2400 pixels|||12|||MP|||2160p|||6|||GB RAM|||Snapdragon 765G 5G|||4680|||mAh|||Li-Po|||1|||Mostly Black|||128GB|||6GB|||https://fdn2.gsmarena.com/vv/bigpic/google-pixel-5a-5g.jpg
Google Pixel 3|||Released 2018, October 18|||148g, 7.9mm thickness|||Android 9.0, up to Android 12|||64GB/128GB storage, no card slot|||5.5"|||1080x2160 pixels|||12|||MP|||2160p|||4|||GB RAM|||Snapdragon 845|||2915|||mAh|||Li-Po|||1|||Clearly White, Just Black, Not Pink|||64GB,128GB|||4GB|||https://fdn2.gsmarena.com/vv/bigpic/google-pixel-3-.jpg
Google Pixel 2|||Released 2017, October 17|||143g, 7.8mm thickness|||Android 8.0, up to Android 11|||64GB/128GB storage, no card slot|||5.0"|||1080x1920 pixels|||12|||MP|||2160p|||4|||GB RAM|||Snapdragon 835|||2700|||mAh|||Li-Ion|||1|||Kinda Blue, Just Black, Clearly White|||64GB,128GB|||4GB|||https://fdn2.gsmarena.com/vv/bigpic/google-pixel-2.jpg
Google Pixel|||Released 2016, October 20|||143g, 8.5mm thickness|||Android 7.1, up to Android 10|||32GB/128GB storage, no card slot|||5.0"|||1080x1920 pixels|||12|||MP|||2160p|||4|||GB RAM|||Snapdragon 821|||2770|||mAh|||Li-Ion|||1|||Quite Black, Very Silver, Really Blue|||32GB,128GB|||4GB|||https://fdn2.gsmarena.com/vv/bigpic/google-pixel.jpg
Google Pixel 5|||Released 2020, October 15|||151g, 8mm thickness|||Android 11, up to Android 12|||128GB storage, no card slot|||6.0"|||1080x2340 pixels|||16|||MP|||2160p|||8|||GB RAM|||Snapdragon 765G 5G|||4080|||mAh|||Li-Po|||1|||Just Black, Sorta Sage|||128GB|||8GB|||https://fdn2.gsmarena.com/vv/bigpic/google-pixel-5-5g.jpg
Google Pixel 3a|||Released 2019, May 15|||147g, 8.2mm thickness|||Android 9.0, up to Android 12|||64GB storage, no card slot|||5.6"|||1080x2220 pixels|||12|||MP|||2160p|||4|||GB RAM|||Snapdragon 670|||3000|||mAh|||Li-Po|||1|||Just Black, Clearly White, Purple-ish|||64GB|||4GB|||https://fdn2.gsmarena.com/vv/bigpic/google-pixel-3a.jpg
