model_name|||release_date|||body|||os|||storage_prnt|||display_size|||resolution|||camera_pixel|||pixel_unit|||video_pixel|||ram_prnt|||ram_unit|||chipset|||battery_size|||battery_unit|||battery_type|||sim_slots|||colors|||storage|||ram|||image
HTC Prime|||Released Not officially announced yet|||MISSING|||Microsoft Windows Phone 7|||512MB RAM storage, no card slot|||3.7"|||480x800 pixels|||5|||MP|||720p|||512|||MB RAM|||MISSING|||MISSING|||MISSING|||Li-Ion|||1|||Black|||512MB|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/htc-prime.jpg
HTC Panache|||Released 2011, July|||150g, 11.1mm thickness|||Android 2.3, Sense UI 2|||8GB storage, microSDHC|||3.8"|||480x800 pixels|||5|||MP|||720p|||768|||MB RAM|||Snapdragon S2|||1400|||mAh|||Li-Ion|||1|||Black|||768MB,8GB|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/htc-panache.jpg
HTC One SC|||Released 2012, Q4|||116g, 8.9mm thickness|||Android 4.0, Sense UI|||4GB 1GB RAM storage, microSDHC slot|||4.3"|||480x800 pixels|||5|||MP|||720p|||1|||GB RAM|||MISSING|||1800|||mAh|||Li-Ion|||1|||Black, White, Orange|||4GB|||1GB|||https://fdn2.gsmarena.com/vv/bigpic/htc-one-sc.jpg
HTC Desire 816 dual sim|||Released 2014, May|||165g, 7.9mm thickness|||Android 4.4.2, up to 6, Sense UI 7|||8GB storage, microSDXC|||5.5"|||720x1280 pixels|||13|||MP|||1080p|||1.5|||GB RAM|||Snapdragon 400|||2600|||mAh|||Li-Po|||2|||Black, White|||MISSING|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/htc-desire-816-dual-sim1.jpg
HTC Desire 200|||Released 2013, July|||100g, 11.9mm thickness|||Android 4, Sense UI 4|||4GB 512MB RAM storage, microSDHC slot|||3.5"|||320x480 pixels|||5|||MP|||480p|||512|||MB RAM|||MISSING|||1230|||mAh|||Li-Ion|||1|||Black, White|||4GB|||512MB|||https://fdn2.gsmarena.com/vv/bigpic/htc-desire-200.jpg
HTC Touch Diamond CDMA|||Released 2008, May|||115g, 15mm thickness|||Microsoft Windows Mobile 6.1 Professional|||4GB 288MB RAM storage, no card slot|||2.8"|||480x640 pixels|||3|||MP|||Video recorder|||288|||MB RAM|||MSM7501A|||1340|||mAh|||Li-Ion|||1|||Black|||4GB|||288MB|||https://fdn2.gsmarena.com/vv/bigpic/htc-touch-diamond-CDMA.jpg
HTC U19e|||Released 2019, June 11|||180g, 8mm thickness|||Android 9.0, HTC Sense|||128GB storage, microSDXC|||6.0"|||1080x2160 pixels|||12|||MP|||2160p|||6|||GB RAM|||Snapdragon 710|||3930|||mAh|||Li-Ion|||2|||Extraordinary Purple, Modest Green|||128GB|||6GB|||https://fdn2.gsmarena.com/vv/bigpic/htc-u19e.jpg
HTC Dream|||Released 2009, June|||158g, 17.1mm thickness|||Android 1.6|||192MB RAM storage, microSD slot|||3.2"|||320x480 pixels|||3|||MP|||Video recorder|||192|||MB RAM|||MSM7201A|||1150|||mAh|||Li-Ion|||1|||Black|||192MB,256MB|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/htc-dream.jpg
HTC One S9|||Released 2016, June|||158g, 10.1mm thickness|||Android 6.0, Sense UI|||16GB storage, microSDXC|||5.0"|||1080x1920 pixels|||13|||MP|||1080p|||2|||GB RAM|||Helio X10|||2840|||mAh|||Li-Ion|||1|||Silver, Gold|||16GB|||2GB|||https://fdn2.gsmarena.com/vv/bigpic/htc-s9.jpg
HTC Flyer Wi-Fi|||Released 2011, May|||420.8g, 13.2mm thickness|||Android 2.3.3, up to 3.2, Sense UI|||16GB/32GB storage, microSDHC|||7.0"|||600x1024 pixels|||5|||MP|||720p|||1|||GB RAM|||Snapdragon S2|||4000|||mAh|||Li-Ion|||1|||Silver|||16GB,32GB|||1GB|||https://fdn2.gsmarena.com/vv/bigpic/htc-flyer.jpg
HTC Titan|||Released 2011, October|||160g, 9.9mm thickness|||Microsoft Windows Phone 7.5 Mango|||16GB storage, no card slot|||4.7"|||480x800 pixels|||8|||MP|||720p|||512|||MB RAM|||Snapdragon S2|||1600|||mAh|||Li-Ion|||1|||Carbon Gray|||16GB|||512MB|||https://fdn2.gsmarena.com/vv/bigpic/htc-titan.jpg
HTC Flyer|||Released 2011, May|||420.8g, 13.2mm thickness|||Android 2.3.3, up to 3.2, Sense UI|||16GB/32GB storage, microSDHC|||7.0"|||600x1024 pixels|||5|||MP|||720p|||1|||GB RAM|||Snapdragon S2|||4000|||mAh|||Li-Po|||1|||Silver|||16GB,32GB|||1GB|||https://fdn2.gsmarena.com/vv/bigpic/htc-flyer.jpg
HTC Desire 510|||Released 2014, September|||158g, 10mm thickness|||Android 4.4.2, Sense UI 5.5|||8GB storage, microSDXC|||4.7"|||480x854 pixels|||5|||MP|||1080p|||1|||GB RAM|||Snapdragon 410|||2100|||mAh|||Li-Po|||1|||Vanilla White, Jet Black, Dark Grey, Deep Navy Blue|||8GB|||1GB|||https://fdn2.gsmarena.com/vv/bigpic/htc-desire-510-new.jpg
HTC One M9 Prime Camera|||Released 2016, May|||158g, 9.6mm thickness|||Android 5, Sense UI 7|||16GB storage, microSDXC|||5.0"|||1080x1920 pixels|||13|||MP|||1080p|||2|||GB RAM|||Helio X10|||2840|||mAh|||Li-Po|||1|||Gunmetal Gray, Gold, Silver/Gold|||16GB|||2GB|||https://fdn2.gsmarena.com/vv/bigpic/htc-one-m9s-.jpg
HTC Wildfire CDMA|||Released 2010, October|||115g, 12mm thickness|||Android 2.1, up to 2.3, Sense UI|||512MB 384MB RAM storage, microSDHC slot|||3.2"|||240x320 pixels|||5|||MP|||Video recorder|||384|||MB RAM|||MISSING|||1300|||mAh|||Li-Ion|||1|||Black|||512MB|||384MB|||https://fdn2.gsmarena.com/vv/bigpic/htc-wildlife-cdma.jpg
HTC Desire 21 Pro 5G|||Released 2021, January 21|||205g, 9.4mm thickness|||Android 10|||128GB storage, microSDXC|||6.7"|||1080x2400 pixels|||48|||MP|||2160p|||8|||GB RAM|||Snapdragon 690 5G|||5000|||mAh|||Li-Po|||2|||Blue, Purple|||128GB|||8GB|||https://fdn2.gsmarena.com/vv/bigpic/htc-desire-21-pro-5g.jpg
HTC Butterfly S|||Released 2013, July|||160g, 10.6mm thickness|||Android 4.2.2, up to 4.4.2, Sense UI 5|||16GB storage, microSDXC|||5.0"|||1080x1920 pixels|||4|||MP|||1080p|||2|||GB RAM|||Snapdragon 600|||3200|||mAh|||Li-Po|||1|||Black, White, Red, Gray|||16GB|||2GB|||https://fdn2.gsmarena.com/vv/bigpic/htc-butterfly-s.jpg
HTC Wildfire E1|||Released 2019, December 18|||165g, 8.9mm thickness|||Android 9.0|||32GB storage, microSDXC|||6.09"|||720x1560 pixels|||13|||MP|||1080p|||3|||GB RAM|||Helio P23|||3000|||mAh|||Li-Ion|||2|||Black, Gold, Blue/Violet|||32GB|||3GB|||https://fdn2.gsmarena.com/vv/bigpic/htc-wildfire-e1.jpg
HTC P3600|||Released 2006, September|||150g, 18.4mm thickness|||Microsoft Windows Mobile 5.0 PocketPC|||64MB RAM storage, miniSD slot|||2.8"|||240x320 pixels|||2|||MP|||Video recorder|||64|||MB RAM|||MISSING|||1500|||mAh|||Li-Ion|||1|||Silver, Black|||64MB,128MB|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/htc-p3600.gif
HTC Desire 20 Pro|||Released 2020, July 18|||201g, 9.4mm thickness|||Android 10|||128GB storage, microSDXC|||6.5"|||1080x2340 pixels|||48|||MP|||2160p|||6|||GB RAM|||Snapdragon 665|||5000|||mAh|||Li-Po|||2|||Smoky Black, Pretty Blue, Crystal Green|||128GB|||6GB|||https://fdn2.gsmarena.com/vv/bigpic/htc-desire20-pro.jpg
HTC Desire 816G dual sim|||Released 2014, October|||158g, 8mm thickness|||Android 4.4.2, Sense UI 6|||8GB/16GB storage, microSDHC|||5.5"|||720x1280 pixels|||13|||MP|||1080p|||1|||GB RAM|||MT6582|||2600|||mAh|||Li-Po|||2|||Black, White|||1GB,8GB|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/htc-desire-816-dual-sim1.jpg
HTC Advantage X7500|||Released 2007, February|||359g, 16mm thickness|||Microsoft Windows Mobile 5.0 for …|||8GB storage, miniSD|||5.0"|||640x480 pixels|||3|||MP|||Video recorder|||128|||MB RAM|||ATI Graphic Chip W2284|||2200|||mAh|||Li-Ion|||1|||Black|||128MB,256MB,8GB|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/htc-advantage.gif
HTC Desire 820s dual sim|||Released 2015, March|||155g, 7.7mm thickness|||Android 4.4.4, Sense UI 6|||16GB storage, microSDHC|||5.5"|||720x1280 pixels|||13|||MP|||1080p|||2|||GB RAM|||MT6752|||2600|||mAh|||Li-Po|||2|||Marble White, Milkyway Gray, Monarch Orange, Santorini White, Tuxedo Gray|||16GB|||2GB|||https://fdn2.gsmarena.com/vv/bigpic/htc-desire-820q.jpg
HTC Desire 728 Ultra|||Released 2016, October|||153g, 7.9mm thickness|||Android 5.1.1, Sense UI|||32GB storage, microSDXC|||5.5"|||720x1280 pixels|||13|||MP|||1080p|||3|||GB RAM|||MT6753|||2800|||mAh|||Li-Po|||2|||Black Gold, Cappuccino Brown|||32GB|||3GB|||https://fdn2.gsmarena.com/vv/bigpic/htc-desire-728-ultra-edition.jpg
