model_name|||release_date|||body|||os|||storage_prnt|||display_size|||resolution|||camera_pixel|||pixel_unit|||video_pixel|||ram_prnt|||ram_unit|||chipset|||battery_size|||battery_unit|||battery_type|||sim_slots|||colors|||storage|||ram|||image
Honor V40 5G|||Released 2021, January 22|||189g, 8mm thickness|||Android 10, Magic UI 4.0|||128GB/256GB storage, no card slot|||6.72"|||1236x2676 pixels|||50|||MP|||2160p|||8|||GB RAM|||Dimensity 1000+|||4000|||mAh|||Li-Po|||2|||Midnight Black, Rose Gold, Titanium Silver|||128GB,256GB|||8GB|||https://fdn2.gsmarena.com/vv/bigpic/honor-v40-5g.jpg
Honor V6|||Released 2020, June 15|||480g, 7.8mm thickness|||Android 10, Magic UI 3.1|||64GB/128GB/256GB storage, microSDXC|||10.4"|||1200x2000 pixels|||8|||MP|||1080p|||6/8|||GB RAM|||Kirin 985 5G|||7250|||mAh|||Li-Po|||1|||Green, Silver, Black|||64GB,128GB,256GB|||6GB,8GB|||https://fdn2.gsmarena.com/vv/bigpic/honor-v6.jpg
Honor 60|||Released 2021, December 10|||179g, 8mm thickness|||Android 11, Magic UI 5.0|||128GB/256GB storage, no card slot|||6.67"|||1080x2400 pixels|||108|||MP|||2160p|||8/12|||GB RAM|||Snapdragon 778G 5G|||4800|||mAh|||Li-Ion|||2|||Black, Green, Blue, Pink|||128GB,256GB|||8GB,12GB|||https://fdn2.gsmarena.com/vv/bigpic/honor-60-r.jpg
Honor 7C|||Released 2018, May|||164g, 7.8mm thickness|||Android 8.0, EMUI 8|||32GB/64GB storage, microSDXC|||5.99"|||720x1440 pixels|||13|||MP|||1080p|||3/4|||GB RAM|||Snapdragon 450|||3000|||mAh|||Li-Po|||2|||Black, Red, Gold, Blue|||32GB,64GB|||3GB,4GB|||https://fdn2.gsmarena.com/vv/bigpic/huawei-honor-7c.jpg
Honor 50 Lite|||Released 2021, November 17|||192g, 8.5mm thickness|||Android 11, Magic UI 4.2|||128GB storage, no card slot|||6.67"|||1080x2376 pixels|||64|||MP|||1080p|||6/8|||GB RAM|||MISSING|||4300|||mAh|||Li-Po|||2|||Midnight Black, Space Silver, Deep Sea Blue|||128GB|||6GB,8GB|||https://fdn2.gsmarena.com/vv/bigpic/honor-50-lite.jpg
Honor 5A|||Released 2016, June|||140g, 9mm thickness|||Android 5.1, EMUI 3.1|||16GB storage, microSDXC|||5.0"|||720x1280 pixels|||13|||MP|||1080p|||2|||GB RAM|||MT6735P|||2200|||mAh|||Li-Ion|||2|||Black, White, Gold|||16GB|||2GB|||https://fdn2.gsmarena.com/vv/bigpic/huawei-honor-5a-new.jpg
Honor V30|||Released 2019, December|||213g, 8.9mm thickness|||Android 10, Magic UI 3|||128GB storage, no card slot|||6.57"|||1080x2400 pixels|||40|||MP|||2160p|||6/8|||GB RAM|||Kirin 990|||4200|||mAh|||Li-Po|||2|||Ocean Blue, Galaxy Black, Icelandic frost, Sunrise Orange|||128GB|||6GB,8GB|||https://fdn2.gsmarena.com/vv/bigpic/honor-v30.jpg
Honor X20|||Released 2021, August 13|||192g, 8.5mm thickness|||Android 11, Magic UI 4.2|||128GB/256GB storage, no card slot|||6.67"|||1080x2376 pixels|||64|||MP|||2160p|||6/8|||GB RAM|||Dimensity 900 5G|||4300|||mAh|||Li-Po|||2|||Blue, Silver, Black|||128GB,256GB|||6GB,8GB|||https://fdn2.gsmarena.com/vv/bigpic/honor-x20.jpg
Honor 3C Play|||Released 2014, September|||156g, 9.4mm thickness|||Android 4.2.2|||16GB storage, microSDHC|||5.0"|||720x1280 pixels|||8|||MP|||Video recorder|||1|||GB RAM|||MT6582|||2000|||mAh|||Li-Ion|||2|||White, Black|||16GB|||1GB|||https://fdn2.gsmarena.com/vv/bigpic/huawei-honor-3c-play.jpg
Honor 6A (Pro)|||Released 2017, July|||143g, 8.2mm thickness|||Android 7.0, EMUI 5.1|||16GB/32GB storage, microSDXC|||5.0"|||720x1280 pixels|||13|||MP|||1080p|||2/3|||GB RAM|||Snapdragon 430|||3020|||mAh|||Li-Po|||2|||Gold, Silver, Dark Gray, Blue, Pink|||16GB,32GB|||2GB,3GB|||https://fdn2.gsmarena.com/vv/bigpic/huawei-nonor-6a.jpg
Honor Play 3|||Released 2019, September|||176g, 8.1mm thickness|||Android 9.0, EMUI 9.1|||64GB/128GB storage, microSDXC|||6.39"|||720x1560 pixels|||48|||MP|||1080p|||4/6|||GB RAM|||Kirin 710F|||4000|||mAh|||Li-Po|||2|||Magic Night Black, Aurora Blue, Charm Red|||64GB,128GB|||4GB,6GB|||https://fdn2.gsmarena.com/vv/bigpic/honor-play-3.jpg
Honor 20|||Released 2019, June|||174g, 7.9mm thickness|||Android 9.0, up to Android 10, Magic UI 4.0|||128GB storage, no card slot|||6.26"|||1080x2340 pixels|||48|||MP|||2160p|||6/8|||GB RAM|||Kirin 980|||3750|||mAh|||Li-Po|||2|||Midnight Black, Sapphire Blue, Icelandic white, Phantom Blue|||128GB,256GB|||6GB,8GB|||https://fdn2.gsmarena.com/vv/bigpic/huawei-honor-20.jpg
Honor 20S|||Released 2019, October|||172g, 7.9mm thickness|||Android 9.0, Magic 2.1|||128GB storage, no card slot|||6.26"|||1080x2340 pixels|||48|||MP|||1080p|||6/8|||GB RAM|||Kirin 810|||3750|||mAh|||Li-Po|||2|||Black, Blue, White|||128GB|||6GB,8GB|||https://fdn2.gsmarena.com/vv/bigpic/honor-20s.jpg
Honor 6C Pro|||Released 2017, November|||145g, 7.7mm thickness|||Android 7.0, EMUI 5.1|||32GB storage, microSDXC|||5.2"|||720x1280 pixels|||13|||MP|||1080p|||3|||GB RAM|||MT6750|||3000|||mAh|||Li-Ion|||2|||Black, Blue, Gold|||32GB|||3GB|||https://fdn2.gsmarena.com/vv/bigpic/huawei-honor-v9-play.jpg
Honor Play 5T Youth|||Released 2021, April 27|||191g, 9.2mm thickness|||Android 10, Magic UI 4.0|||128GB storage, microSDXC|||6.6"|||720x1600 pixels|||13|||MP|||1080p|||6/8|||GB RAM|||Helio P35|||5000|||mAh|||Li-Po|||2|||Black, Blue|||128GB|||6GB,8GB|||https://fdn2.gsmarena.com/vv/bigpic/honor-play-5t-lite.jpg
Honor 6|||Released 2014, August|||130g, 7.5mm thickness|||Android 4.4.2, up to 6.0, EMUI 3.1|||16GB/32GB storage, microSDXC|||5.0"|||1080x1920 pixels|||13|||MP|||1080p|||3|||GB RAM|||Kirin 920|||3100|||mAh|||Li-Po|||2|||Black, White|||16GB,32GB|||3GB|||https://fdn2.gsmarena.com/vv/bigpic/huawei-honor-6.jpg
Honor 8X Max|||Released 2018, September|||210g, 8.1mm thickness|||Android 8.1, up to Android 9, EMUI 9|||64GB/128GB storage, microSDXC|||7.12"|||1080x2244 pixels|||16|||MP|||1080p|||4/6|||GB RAM|||Snapdragon 660|||5000|||mAh|||Li-Po|||2|||Black, Blue, Red|||64GB,128GB|||4GB,6GB|||https://fdn2.gsmarena.com/vv/bigpic/huawei-honor-8x-max.jpg
Honor 8X|||Released 2018, September|||175g, 7.8mm thickness|||Android 8.1, up to Android 9.0, EMUI 9.0|||64GB/128GB storage, microSDXC|||6.5"|||1080x2340 pixels|||20|||MP|||1080p|||4/6|||GB RAM|||Kirin 710|||3750|||mAh|||Li-Po|||2|||Black, Blue, Red, Pink|||64GB,128GB|||4GB,6GB|||https://fdn2.gsmarena.com/vv/bigpic/huawei-honor-8x.jpg
Honor 20i|||Released 2019, April|||164g, 8mm thickness|||Android 9.0, EMUI 9.1|||64GB/128GB/256GB storage, microSDXC|||6.21"|||1080x2340 pixels|||24|||MP|||1080p|||4/6|||GB RAM|||Kirin 710|||3400|||mAh|||Li-Po|||2|||Gradient Blue, Gradient red, Magic Night Black|||64GB,128GB,256GB|||4GB,6GB|||https://fdn2.gsmarena.com/vv/bigpic/honor-20i.jpg
Honor Note 10|||Released 2018, August|||230g, 7.7mm thickness|||Android 8.1, EMUI 8.2|||64GB/128GB storage, microSDXC|||6.95"|||1080x2220 pixels|||16|||MP|||2160p|||6/8|||GB RAM|||Kirin 970|||5000|||mAh|||Li-Po|||2|||Midnight Black, Phantom Blue|||64GB,128GB|||6GB,8GB|||https://fdn2.gsmarena.com/vv/bigpic/huawei-honor-note10-cn.jpg
Honor Tablet V7|||Released 2021, October 01|||480g, 7.9mm thickness|||Android 11, Magic UI 5.0|||128GB storage, microSDXC|||10.4"|||1200x2000 pixels|||13|||MP|||1080p|||6/8|||GB RAM|||MediaTek Kompanio 900T 5G|||7250|||mAh|||Li-Po|||1|||Gold, Blue, Silver|||128GB|||6GB,8GB|||https://fdn2.gsmarena.com/vv/bigpic/honor-tablet-v7.jpg
Honor 8|||Released 2016, July|||153g, 7.5mm thickness|||Android 6.0, up to Android 8.0, EMUI 8|||32GB/64GB storage, microSDXC|||5.2"|||1080x1920 pixels|||12|||MP|||1080p|||4|||GB RAM|||Kirin 950|||3000|||mAh|||Li-Po|||2|||Pearl White, Midnight Black, Sapphire Blue, Gold|||32GB,64GB|||4GB|||https://fdn2.gsmarena.com/vv/bigpic/huawei-honor-8r1.jpg
Honor 30S|||Released 2020, April 07|||190g, 8.6mm thickness|||Android 10, Magic UI 3|||128GB/256GB storage, NM|||6.5"|||1080x2400 pixels|||64|||MP|||2160p|||6/8|||GB RAM|||Kirin 820 5G|||4000|||mAh|||Li-Po|||2|||Black, Blue, Green, Gradient, Butterfly Feather Red|||128GB,256GB|||6GB,8GB|||https://fdn2.gsmarena.com/vv/bigpic/honor-30s.jpg
Honor Play 9A|||Released 2020, April 03|||185g, 9mm thickness|||Android 10, Magic UI 3.0|||64GB/128GB storage, microSDXC|||6.3"|||720x1600 pixels|||13|||MP|||1080p|||4|||GB RAM|||Helio P35|||5000|||mAh|||Li-Po|||2|||Blue Water Emerald, Jasper Green, Dark Night Black|||64GB,128GB|||4GB|||https://fdn2.gsmarena.com/vv/bigpic/honor-play-9a-r.jpg
Honor U8860|||Released 2011, December|||140g, 11mm thickness|||Android 2.3, up to 4.0|||4GB 512MB RAM storage, microSDHC slot|||4.0"|||480x854 pixels|||8|||MP|||720p|||512|||MB RAM|||Snapdragon S2|||1930|||mAh|||Li-Ion|||1|||Glossy Black, Textured Black, Elegant White, Vibrant Yellow, Cherry Blossom Pink, Burgundy|||4GB|||512MB|||https://fdn2.gsmarena.com/vv/bigpic/huawei-honor.jpg
Honor X10 Max 5G|||Released 2020, July 03|||232g, 8.3mm thickness|||Android 10, Magic UI 3.1|||64GB/128GB storage, NM|||7.09"|||1080x2280 pixels|||48|||MP|||2160p|||6/8|||GB RAM|||Dimensity 800 5G|||5000|||mAh|||Li-Po|||2|||Black, Blue, Silver|||64GB,128GB|||6GB,8GB|||https://fdn2.gsmarena.com/vv/bigpic/honor-x10-max.jpg
Honor View 20|||Released 2018, December|||180g, 8.1mm thickness|||Android 9.0, up to Android 10, Magic UI 4.0|||128GB/256GB storage, no card slot|||6.4"|||1080x2310 pixels|||48|||MP|||2160p|||6/8|||GB RAM|||Kirin 980|||4000|||mAh|||Li-Po|||2|||Saphire Blue, Phantom Blue, Phantom Red, Midnight Black|||128GB,256GB|||6GB,8GB|||https://fdn2.gsmarena.com/vv/bigpic/huawei-honor-view-20-ofic.jpg
Honor X10 5G|||Released 2020, May 26|||203g, 8.8mm thickness|||Android 10, Magic UI 3.1|||64GB/128GB storage, NM|||6.63"|||1080x2400 pixels|||40|||MP|||2160p|||6/8|||GB RAM|||Kirin 820 5G|||4300|||mAh|||Li-Po|||2|||Blue, Orange, Black, Silver|||64GB,128GB|||6GB,8GB|||https://fdn2.gsmarena.com/vv/bigpic/honor-x10-5g.jpg
Honor 20 lite|||Released 2019, April|||164g, 8mm thickness|||Android 9.0, EMUI 9|||64GB/128GB storage, microSDXC|||6.21"|||1080x2340 pixels|||24|||MP|||1080p|||4-8|||GB RAM|||Kirin 710|||3400|||mAh|||Li-Po|||2|||Phantom Blue, Phantom Red, Magic Night Black|||64GB,128GB|||4GB,6GB,8GB|||https://fdn2.gsmarena.com/vv/bigpic/honor-20-lite.jpg
Honor V30 Pro|||Released 2019, December|||206g, 8.8mm thickness|||Android 10, Magic UI 3|||128GB/256GB storage, no card slot|||6.57"|||1080x2400 pixels|||40|||MP|||2160p|||8|||GB RAM|||Kirin 990 5G|||4100|||mAh|||Li-Po|||2|||Ocean Blue, Galaxy Black, Icelandic frost|||128GB,256GB|||8GB|||https://fdn2.gsmarena.com/vv/bigpic/honor-v30-pro.jpg
Honor Tab 5|||Released 2019, March|||310g, 8.2mm thickness|||Android 9.0, Magic 2|||32GB/64GB/128GB storage, microSDXC|||8.0"|||1920x1200 pixels|||8|||MP|||1080p|||3/4|||GB RAM|||Kirin 710|||5100|||mAh|||Li-Po|||2|||Silver, Blue|||32GB,64GB,128GB|||3GB,4GB|||https://fdn2.gsmarena.com/vv/bigpic/honor-tab-5.jpg
