model_name|||release_date|||body|||os|||storage_prnt|||display_size|||resolution|||camera_pixel|||pixel_unit|||video_pixel|||ram_prnt|||ram_unit|||chipset|||battery_size|||battery_unit|||battery_type|||sim_slots|||colors|||storage|||ram|||image
Huawei P40 lite 5G|||Released 2020, May 28|||189g, 8.6mm thickness|||Android 10, EMUI 10.1|||128GB storage, NM|||6.5"|||1080x2400 pixels|||64|||MP|||2160p|||6|||GB RAM|||Kirin 820 5G|||4000|||mAh|||Li-Po|||2|||Crush Green, Space Silver, Midnight Black|||128GB|||6GB|||https://fdn2.gsmarena.com/vv/bigpic/huawei-p40-lite-5g.jpg
Huawei MediaPad T2 7.0|||Released 2016, September|||278g, 8.5mm thickness|||Android 6, EMUI 4|||8GB/16GB storage, microSD|||7.0"|||600x1024 pixels|||2|||MP|||720p|||1/2|||GB RAM|||Spreadtrum SC9830l|||4100|||mAh|||Li-Ion|||1|||Black/Silver|||8GB,16GB|||1GB,2GB|||https://fdn2.gsmarena.com/vv/bigpic/huawei-mediapad-t2.jpg
Huawei MediaPad 10 Link|||Released 2013|||620g (Wi-Fi) / 640g (3G/LTE), 9.9mm thickness|||Android 4.0, up to 4.1|||8GB/16GB/8GB storage, microSDHC|||10.1"|||1280x800 pixels|||3|||MP|||Video recorder|||1|||GB RAM|||Huawei K3V2|||6600|||mAh|||Li-Po|||1|||Black/Silver|||8GB,16GB,32GB|||1GB|||https://fdn2.gsmarena.com/vv/bigpic/Huawei-MediaPad-101-Link.jpg
Huawei nova 8 Pro 4G|||Released 2021, June 18|||184g, 7.9mm thickness|||Android 10, EMUI 11, no Google Play Services|||128GB/256GB storage, no card slot|||6.72"|||1236x2676 pixels|||64|||MP|||2160p|||8|||GB RAM|||Kirin 985 5G|||4000|||mAh|||Li-Po|||2|||Black, Blue, Green, White|||128GB,256GB|||8GB|||https://fdn2.gsmarena.com/vv/bigpic/huawei-nova-8-pro-5g.jpg
Huawei U1250|||Released 2009, July|||90g, 11.5mm thickness|||Feature phone|||15MB storage, microSDHC slot|||2.0"|||240x320 pixels|||2|||MP|||Video recorder|||MISSING|||MISSING|||MISSING|||MISSING|||MISSING|||Li-Ion|||1|||Black, White, Pink|||15MB|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/huawei-u1250.jpg
Huawei Ascend G350|||Released 2013, April|||140g, 12mm thickness|||Android 4.1|||4GB 512MB RAM storage, microSDHC slot|||4.0"|||480x800 pixels|||5|||MP|||720p|||512|||MB RAM|||Snapdragon S4 Play|||1730|||mAh|||Li-Ion|||1|||Black, Black/Red, Black/Green|||4GB|||512MB|||https://fdn2.gsmarena.com/vv/bigpic/huawei-ascend-g350.jpg
Huawei P30|||Released 2019, March 26|||165g, 7.6mm thickness|||Android 9.0, up to Android 10, EMUI 10|||64GB/128GB/256GB storage, NM|||6.1"|||1080x2340 pixels|||40|||MP|||2160p|||6/8|||GB RAM|||Kirin 980|||3650|||mAh|||Li-Po|||2|||Aurora, Amber Sunrise, Breathing Crystal, Black, Pearl White|||64GB,128GB,256GB|||6GB,8GB|||https://fdn2.gsmarena.com/vv/bigpic/huawei-p30.jpg
Huawei P10|||Released 2017, March|||145g, 7mm thickness|||Android 7.0, up to Android 9.0, EMUI 9.1|||32GB/64GB storage, microSDXC|||5.1"|||1080x1920 pixels|||20|||MP|||2160p|||4|||GB RAM|||Kirin 960|||3200|||mAh|||Li-Ion|||2|||Mystic Silver, Rose Gold, Graphite Black, Dazzling Gold, Dazzling Blue, Greenery|||32GB,64GB|||4GB|||https://fdn2.gsmarena.com/vv/bigpic/huawei-p10-.jpg
Huawei U3300|||Released 2008, Q2|||16mm thickness|||Feature phone|||microSD slot|||2.0"|||176x220 pixels|||2|||MP|||Video recorder|||MISSING|||MISSING|||MISSING|||MISSING|||MISSING|||Li-Ion|||1|||Black|||MISSING|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/huawei-u3300.jpg
Huawei U1270|||Released 2009, December|||80.6g, 12.4mm thickness|||Feature phone|||15MB storage, microSDHC slot|||2.0"|||240x320 pixels|||2|||MP|||144p|||MISSING|||MISSING|||MISSING|||800|||mAh|||Li-Ion|||1|||Black, White|||15MB|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/huawei-u1270.jpg
