model_name|||release_date|||body|||os|||storage_prnt|||display_size|||resolution|||camera_pixel|||pixel_unit|||video_pixel|||ram_prnt|||ram_unit|||chipset|||battery_size|||battery_unit|||battery_type|||sim_slots|||colors|||storage|||ram|||image
LG K30 (2019)|||Released 2019, September|||148g, 8.5mm thickness|||Android 9.0|||16GB storage, microSDHC|||5.45"|||720x1440 pixels|||8|||MP|||1080p|||2|||GB RAM|||Snapdragon 425|||3000|||mAh|||Li-Ion|||2|||New Aurora Black, New Moroccan Blue|||16GB|||2GB|||https://fdn2.gsmarena.com/vv/bigpic/lg-k30-2019.jpg
LG S365|||Released 2011, Q3|||85g, 11.5mm thickness|||Feature phone|||microSDHC slot|||2.4"|||240x320 pixels|||2|||MP|||144p|||MISSING|||MISSING|||MISSING|||900|||mAh|||Li-Ion|||2|||Black|||MISSING|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/lg-s365.jpg
LG KG245|||Released 2006, April|||70g, 21.9mm thickness|||Feature phone|||8MB storage, no card slot||| |||128x160 pixels|||0.3|||MP|||No video recorder|||MISSING|||MISSING|||MISSING|||830|||mAh|||Li-Ion|||1|||Black|||8MB|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/lg-kg245.gif
LG K40|||Released 2019, April|||144g, 8.3mm thickness|||Android 8.1, LG UX 7|||32GB storage, microSDXC|||5.7"|||720x1440 pixels|||16|||MP|||1080p|||2/3|||GB RAM|||Helio P22|||3000|||mAh|||Li-Ion|||2|||Black, New Moroccan Blue, New Platinum Gray|||32GB|||2GB,3GB|||https://fdn2.gsmarena.com/vv/bigpic/lg-k40-.jpg
LG Stylus 2 Plus|||Released 2016, July|||146g, 7.4mm thickness|||Android 6.0, up to 7.0|||16GB/32GB storage, microSDXC|||5.7"|||MISSING|||16|||MP|||1080p|||2/3|||GB RAM|||Snapdragon 430|||3000|||mAh|||Li-Ion|||2|||Titan, Gold, Brown|||16GB,32GB|||2GB|||https://fdn2.gsmarena.com/vv/bigpic/lg-stylus-2-plus-.jpg
LG G Pad 10.1 LTE|||Released 2014, July|||535.8g, 8.9mm thickness|||Android 5.0.2|||16GB storage, microSDXC|||10.1"|||1280x800 pixels|||5|||MP|||1080p|||1|||GB RAM|||MISSING|||8000|||mAh|||Li-Ion|||1|||Black|||16GB|||1GB|||https://fdn2.gsmarena.com/vv/bigpic/lg-g-pad-101-2014.jpg
LG Optimus L3 II E430|||Released 2013, April|||107g, 11.9mm thickness|||Android 4.1.2|||4GB storage, microSDHC slot|||3.2"|||240x320 pixels|||3|||MP|||480p|||512|||MB RAM|||Snapdragon S1|||1540|||mAh|||Li-Po|||1|||Indigo Black, Titanium silver, White|||512MB,4GB|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/lg-l3-ii.jpg
LG K3|||Released 2016, September|||127g, 9.4mm thickness|||Android 6.0|||8GB storage, microSDHC|||4.5"|||480x854 pixels|||5|||MP|||720p|||1|||GB RAM|||MT6737M|||1940|||mAh|||Li-Ion|||2|||Black/Dark BLue|||8GB|||1GB|||https://fdn2.gsmarena.com/vv/bigpic/lg-k3.jpg
LG Optimus Net Dual|||Released 2011, Q3|||102g, 12.1mm thickness|||Android 2.3.4|||150MB 512MB RAM storage, microSDHC slot|||3.2"|||320x480 pixels|||3|||MP|||480p|||512|||MB RAM|||Snapdragon S1|||1500|||mAh|||Li-Ion|||2|||Black|||150MB|||512MB|||https://fdn2.gsmarena.com/vv/bigpic/lg-optimus-net-dual.jpg
LG L50|||Released 2014, July|||142g, 12.2mm thickness|||Android 4.4.2|||4GB 512MB RAM storage, microSDHC slot|||4.0"|||480x800 pixels|||3|||MP|||480p|||512|||MB RAM|||MT6572|||1900|||mAh|||Li-Ion|||1|||Black, White|||4GB|||512MB|||https://fdn2.gsmarena.com/vv/bigpic/lg-l50.jpg
LG KP215|||Released 2008, September|||78g, 18mm thickness|||Feature phone|||microSD slot|||1.77"|||128x160 pixels|||0.3|||MP|||Video recorder|||MISSING|||MISSING|||MISSING|||900|||mAh|||Li-Ion|||1|||Black|||MISSING|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/lg-kp215.jpg
LG Optimus L3 E405|||Released 2012, July|||119g, 11.9mm thickness|||Android 2.3.6|||1GB 384MB RAM storage, microSDHC slot|||3.2"|||240x320 pixels|||3|||MP|||480p|||384|||MB RAM|||Snapdragon S1|||1540|||mAh|||Li-Ion|||2|||Black, White|||1GB|||384MB|||https://fdn2.gsmarena.com/vv/bigpic/lg-optimus-l3-e405-l3-dual-new.jpg
LG G4 Beat|||Released 2015, August|||139g, 9.9mm thickness|||Android 5.1.1|||8GB storage, microSDHC|||5.2"|||1080x1920 pixels|||13|||MP|||1080p|||1.5|||GB RAM|||Snapdragon 615|||2300|||mAh|||Li-Ion|||2|||Metallic Gray, Ceramic White, Shiny Gold|||MISSING|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/lg-g4s-beat.jpg
LG U900|||Cancelled|||110g, 21.4mm thickness|||Feature phone|||58MB storage, microSD slot|||2.2"|||240x320 pixels|||1.3|||MP|||Video recorder|||MISSING|||MISSING|||MISSING|||950|||mAh|||Li-Ion|||1|||Silver, Black|||58MB|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/lg-u900.gif
LG CP150|||Released 2009|||81g, 18.8mm thickness|||Feature phone|||No card slot|||1.5"|||128x128 pixels|||MISSING|||MISSING|||No video recorder|||MISSING|||MISSING|||MISSING|||800|||mAh|||Li-Ion|||1|||Black, Red|||MISSING|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/lg-cp150.jpg
LG A250|||Released 2011, July|||92g, 15.8mm thickness|||Feature phone|||10MB storage, microSDHC slot|||2.2"|||176x220 pixels|||1.3|||MP|||144p|||MISSING|||MISSING|||MISSING|||900|||mAh|||Li-Ion|||1|||Black|||10MB|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/lg-a250.jpg
LG Splendor US730|||Released 2012, September|||120g, 9mm thickness|||Android 4.0.4|||4GB 768MB RAM storage, microSDHC slot|||4.3"|||480x800 pixels|||5|||MP|||720p|||768|||MB RAM|||Snapdragon S2|||1700|||mAh|||Li-Ion|||1|||Black|||4GB|||768MB|||https://fdn2.gsmarena.com/vv/bigpic/lg-splendor-us730.jpg
LG K10 (2018)|||Released 2018, June|||162g, 8.7mm thickness|||Android 7.1.2|||16GB/32GB storage, microSDXC|||5.3"|||720x1280 pixels|||13|||MP|||1080p|||2/3|||GB RAM|||MT6750|||3000|||mAh|||Li-Ion|||2|||Aurora Black, Moroccan Blue, Terra Gold|||16GB,32GB|||2GB,3GB|||https://fdn2.gsmarena.com/vv/bigpic/lg-k10-2018-.jpg
