model_name|||release_date|||body|||os|||storage_prnt|||display_size|||resolution|||camera_pixel|||pixel_unit|||video_pixel|||ram_prnt|||ram_unit|||chipset|||battery_size|||battery_unit|||battery_type|||sim_slots|||colors|||storage|||ram|||image
Meizu 15 Lite|||Released 2018, May|||145g, 7.5mm thickness|||Android 7.1.2, Flyme 7|||64GB storage, microSDXC|||5.46"|||1080x1920 pixels|||12|||MP|||1080p|||4|||GB RAM|||Snapdragon 626|||3000|||mAh|||Li-Ion|||2|||Black, Gold, Red|||64GB|||4GB|||https://fdn2.gsmarena.com/vv/bigpic/meizu-m15.jpg
Meizu M3e|||Released 2016, August|||172g, 7.9mm thickness|||Android 5.1, Flyme 5.2|||32GB storage, microSDXC|||5.5"|||1080x1920 pixels|||13|||MP|||1080p|||3|||GB RAM|||Helio P10|||3100|||mAh|||Li-Ion|||2|||Blue, Gold, Gray, Pink, Silver|||32GB|||3GB|||https://fdn2.gsmarena.com/vv/bigpic/meizu-m3e.jpg
Meizu M1 Metal|||Released 2015, October|||162g, 8.2mm thickness|||Android, 5.1.1, Flyme 5.1|||16GB/32GB storage, microSDXC|||5.5"|||1080x1920 pixels|||13|||MP|||1080p|||2|||GB RAM|||Helio X10|||3140|||mAh|||Li-Ion|||2|||White, Gold, Gray, Blue, Pink|||16GB,32GB|||2GB|||https://fdn2.gsmarena.com/vv/bigpic/meizu-metal1.jpg
Meizu 18 Pro|||Released 2021, March 08|||189g, 8.1mm thickness|||Android 11, Flyme 9|||128GB/256GB storage, no card slot|||6.7"|||1440x3200 pixels|||50|||MP|||4320p|||8/12|||GB RAM|||Snapdragon 888 5G|||4500|||mAh|||Li-Po|||2|||Blue, White, Gray|||128GB,256GB|||8GB,12GB|||https://fdn2.gsmarena.com/vv/bigpic/meizu-18-pro.jpg
Meizu Pro 7 Plus|||Released 2017, August|||170g, 7.3mm thickness|||Android 7.0, Flyme 7.3|||64GB/128GB storage, no card slot|||5.7"|||1440x2560 pixels|||12|||MP|||2160p|||6|||GB RAM|||Helio X30|||3500|||mAh|||Li-Ion|||2|||Black, gold, silver|||64GB,128GB|||6GB|||https://fdn2.gsmarena.com/vv/bigpic/meizu-pro-7-plus.jpg
Meizu Pro 6 Plus|||Released 2016, November|||158g, 7.3mm thickness|||Android 6, Flyme 7.3|||64GB/128GB storage, no card slot|||5.7"|||1440x2560 pixels|||12|||MP|||2160p|||4|||GB RAM|||Exynos 8890 Octa|||3400|||mAh|||Li-Ion|||2|||Gold, Silver, Gray|||64GB,128GB|||4GB|||https://fdn2.gsmarena.com/vv/bigpic/meizu-pro-6-plus.jpg
Meizu V8 Pro|||Released 2018, September|||159g, 8.1mm thickness|||Android 8.0, Flyme UI|||64GB storage, microSDXC|||5.7"|||720x1440 pixels|||12|||MP|||1080p|||4|||GB RAM|||Helio P22|||3100|||mAh|||Li-Ion|||2|||Black, Gold|||64GB|||4GB|||https://fdn2.gsmarena.com/vv/bigpic/meizu-v8-pro.jpg
Meizu M5c|||Released 2017, June|||135g, 8.3mm thickness|||Android 6.0, Flyme 6|||16GB storage, microSDXC|||5.0"|||720x1280 pixels|||8|||MP|||720p|||2|||GB RAM|||MT6737|||3000|||mAh|||Li-Ion|||2|||Black, Blue, Red, Gold, Pink|||16GB|||2GB|||https://fdn2.gsmarena.com/vv/bigpic/meizu-m5c-.jpg
Meizu E3|||Released 2018, April|||160g, 7.6mm thickness|||Android 7.1.2, Flyme 7|||64GB/128GB storage, microSDXC|||5.99"|||1080x2160 pixels|||20|||MP|||1080p|||6|||GB RAM|||Snapdragon 636|||3360|||mAh|||Li-Ion|||2|||Black Stone, Moonlight Silver, Champagne Gold|||64GB,128GB|||6GB|||https://fdn2.gsmarena.com/vv/bigpic/meizu-e3.jpg
Meizu C9 Pro|||Released 2018, December|||150g, 9.7mm thickness|||Android 8.0, Flyme UI|||32GB storage, microSDXC|||5.45"|||720x1440 pixels|||13|||MP|||1080p|||3|||GB RAM|||Unisoc SC9832E|||3000|||mAh|||Li-Ion|||2|||Black, Gold|||32GB|||3GB|||https://fdn2.gsmarena.com/vv/bigpic/meizu-c9-pro.jpg
Meizu MX|||Released 2012, March|||139g, 10.3mm thickness|||Android 2.3.5, up to 4.0|||16GB storage, no card slot|||4.0"|||640x960 pixels|||8|||MP|||1080p|||1|||GB RAM|||Exynos|||1600|||mAh|||Li-Ion|||1|||Black/White|||16GB|||1GB|||https://fdn2.gsmarena.com/vv/bigpic/meizu-mx.jpg
Meizu MX2|||Released 2012, December|||142g, 10.2mm thickness|||Android 4.1.1|||16GB/32GB/64GB storage, no card slot|||4.4"|||800x1280 pixels|||8|||MP|||1080p|||2|||GB RAM|||Exynos 4412 Quad|||1800|||mAh|||Li-Ion|||1|||Black front & white back|||16GB,32GB,64GB|||2GB|||https://fdn2.gsmarena.com/vv/bigpic/meizu-mx2.jpg
Meizu Pro 7|||Released 2017, August|||163g, 7.3mm thickness|||Android 7.0, Flyme 7.3|||64GB/128GB storage, no card slot|||5.2"|||1080x1920 pixels|||12|||MP|||2160p|||4|||GB RAM|||Helio P25|||3000|||mAh|||Li-Ion|||2|||Black, gold, red|||64GB,128GB|||4GB|||https://fdn2.gsmarena.com/vv/bigpic/meizu-pro-7.jpg
Meizu Note 9|||Released 2019, March|||170g, 8.7mm thickness|||Android 9.0, Flyme 7.2|||64GB/128GB storage, no card slot|||6.2"|||1080x2244 pixels|||48|||MP|||1080p|||4/6|||GB RAM|||Snapdragon 675|||4000|||mAh|||Li-Ion|||2|||Black, White, Starlight Blue|||64GB,128GB|||4GB,6GB|||https://fdn2.gsmarena.com/vv/bigpic/meizu-note-9.jpg
Meizu 16X|||Released 2018, September|||154g, 7.5mm thickness|||Android 8.0, Flyme UI|||64GB/128GB storage, no card slot|||6.0"|||1080x2160 pixels|||20|||MP|||2160p|||6|||GB RAM|||Snapdragon 710|||3100|||mAh|||Li-Ion|||2|||Black, White, Gold|||64GB,128GB|||6GB|||https://fdn2.gsmarena.com/vv/bigpic/meizu-m16x-.jpg
Meizu M3s|||Released 2016, June|||138g, 8.3mm thickness|||Android 5.1, Flyme 5.1|||16GB/32GB storage, microSDXC|||5.0"|||720x1280 pixels|||13|||MP|||1080p|||2/3|||GB RAM|||MT6750|||3020|||mAh|||Li-Ion|||2|||Silver, Gray, Pink, Gold|||16GB,32GB|||2GB,3GB|||https://fdn2.gsmarena.com/vv/bigpic/meizu-m3s.jpg
Meizu MX 4-core|||Released 2012, August|||139g, 10.3mm thickness|||Android 4.0|||32GB/64GB storage, no card slot|||4.0"|||640x960 pixels|||8|||MP|||1080p|||1|||GB RAM|||Exynos|||1700|||mAh|||Li-Po|||1|||Black (front)/ white, green, blue, pink, violet (back)|||32GB,64GB|||1GB|||https://fdn2.gsmarena.com/vv/bigpic/meizu-mx-quad-core.jpg
Meizu 18|||Released 2021, March 08|||162g, 8.2mm thickness|||Android 11, Flyme 9|||128GB/256GB storage, no card slot|||6.2"|||1440x3200 pixels|||64|||MP|||2160p|||8/12|||GB RAM|||Snapdragon 888 5G|||4000|||mAh|||Li-Po|||2|||Light Blue, White, Aurora|||128GB,256GB|||8GB,12GB|||https://fdn2.gsmarena.com/vv/bigpic/meizu-18-.jpg
Meizu Pro 6|||Released 2016, May|||160g, 7.3mm thickness|||Android 6.0, Flyme 8|||32GB/64GB storage, no card slot|||5.2"|||1080x1920 pixels|||21|||MP|||MISSING|||4|||GB RAM|||Helio X25|||2560|||mAh|||Li-Ion|||2|||Gray, Gold, Silver, Flames Red, Rose Gold|||32GB,64GB|||4GB|||https://fdn2.gsmarena.com/vv/bigpic/meizu-pro-6.jpg
Meizu M6|||Released 2017, September|||143g, 8.3mm thickness|||Android 7, Flyme 7.3|||16GB/32GB storage, microSDXC|||5.2"|||720x1280 pixels|||13|||MP|||1080p|||2/3|||GB RAM|||MT6750|||3070|||mAh|||Li-Ion|||2|||Moonlight Silver, Champagne Gold, Matte Black, Electric Light Blue|||16GB,32GB|||2GB,3GB|||https://fdn2.gsmarena.com/vv/bigpic/meizu-m6--.jpg
Meizu 16Xs|||Released 2019, June|||165g, 8.3mm thickness|||Android 9.0, Flyme|||64GB/128GB storage, no card slot|||6.2"|||1080x2232 pixels|||48|||MP|||2160p|||6|||GB RAM|||Snapdragon 675|||4000|||mAh|||Li-Po|||2|||Carbon Black, Pearl White, Phantom Blue|||64GB,128GB|||6GB|||https://fdn2.gsmarena.com/vv/bigpic/meizu-16xs.jpg
Meizu Pro 6s|||Released 2016, December|||163g, 7.3mm thickness|||Android 6.0, Flyme 7.3|||64GB storage, no card slot|||5.2"|||1080x1920 pixels|||12|||MP|||2160p|||4|||GB RAM|||Helio X25|||3060|||mAh|||Li-Ion|||2|||Black, Gold, Silver, Rose Gold|||64GB|||4GB|||https://fdn2.gsmarena.com/vv/bigpic/meizu-pro-6s.jpg
Meizu MX6|||Released 2016, July|||155g, 7.3mm thickness|||Android 6.0, Flyme 7.3|||32GB storage, no card slot|||5.5"|||1080x1920 pixels|||12|||MP|||2160p|||3/4|||GB RAM|||Helio X20|||3060|||mAh|||Li-Ion|||2|||Gray, Silver, Champagne Gold, Rose Gold|||32GB|||3GB,4GB|||https://fdn2.gsmarena.com/vv/bigpic/meizu-mx6.jpg
Meizu M5 Note|||Released 2016, December|||175g, 8.2mm thickness|||Android 6.0, Flyme 7.3|||16GB/32GB/64GB storage, microSDXC|||5.5"|||1080x1920 pixels|||13|||MP|||1080p|||3/4|||GB RAM|||Helio P10|||4000|||mAh|||Li-Ion|||2|||Gray, Silver, Gold, Blue|||16GB,32GB,64GB|||3GB,4GB|||https://fdn2.gsmarena.com/vv/bigpic/meizu-m5-note.jpg
Meizu M5s|||Released 2017, February|||143g, 8.4mm thickness|||Android 6.0, Flyme 5.2|||16GB/32GB storage, microSDXC|||5.2"|||720x1280 pixels|||13|||MP|||1080p|||3|||GB RAM|||MT6753|||3000|||mAh|||Li-Ion|||2|||Champanage Gold, Rose Gold, Stay Gray, Moonlight Silver|||16GB,32GB|||3GB|||https://fdn2.gsmarena.com/vv/bigpic/meizu-m5s.jpg
Meizu MX5|||Released 2015, July|||149g, 7.6mm thickness|||Android 5.0.1, Flyme 4.5|||16GB/32GB/64GB storage, no card slot|||5.5"|||1080x1920 pixels|||20|||MP|||2160p|||3|||GB RAM|||Helio X10|||3150|||mAh|||Li-Ion|||2|||Gray, Gold, Silver, Black/Silver|||16GB,32GB,64GB|||3GB|||https://fdn2.gsmarena.com/vv/bigpic/meizu-mx5.jpg
Meizu 17 Pro|||Released 2020, May 11|||219g, 8.5mm thickness|||Android 10, Flyme 8.1|||128GB/256GB storage, no card slot|||6.6"|||1080x2340 pixels|||64|||MP|||2160p|||8/12|||GB RAM|||Snapdragon 865 5G|||4500|||mAh|||Li-Po|||2|||Mint, Black, White|||128GB,256GB|||8GB,12GB|||https://fdn2.gsmarena.com/vv/bigpic/meizu-m17-pro1.jpg
Meizu M2 Note|||Released 2015, June|||149g, 8.7mm thickness|||Android 5.0, Flyme 4.5|||16GB/32GB storage, microSDXC|||5.5"|||1080x1920 pixels|||13|||MP|||1080p|||2|||GB RAM|||MT6753|||3100|||mAh|||Li-Ion|||2|||Gray, White, Blue, Pink|||16GB,32GB|||2GB|||https://fdn2.gsmarena.com/vv/bigpic/meizu-m1-note2.jpg
Meizu M6 Note|||Released 2017, September|||173g, 8.4mm thickness|||Android 7.1.2, Flyme 7.3|||16GB/32GB/64GB storage, microSDXC|||5.5"|||1080x1920 pixels|||12|||MP|||1080p|||3/4|||GB RAM|||Snapdragon 625|||4000|||mAh|||Li-Ion|||2|||Black, Blue, Gold|||16GB,32GB,64GB|||3GB,4GB|||https://fdn2.gsmarena.com/vv/bigpic/meizu-m6-note.jpg
Meizu Note 8|||Released 2018, November|||168g, 7.9mm thickness|||Android 8.0, Flyme 7.3|||64GB storage, no card slot|||6.0"|||1080x2160 pixels|||12|||MP|||1080p|||4|||GB RAM|||Snapdragon 632|||3600|||mAh|||Li-Ion|||2|||Black, Blue, Red, Pink|||64GB|||4GB|||https://fdn2.gsmarena.com/vv/bigpic/meizu-note-8-.jpg
Meizu 16T|||Released 2019, October|||183g, 8.3mm thickness|||Android 9.0, Flyme 8|||128GB/256GB storage, no card slot|||6.5"|||1080x2232 pixels|||12|||MP|||2160p|||6/8|||GB RAM|||Snapdragon 855|||4500|||mAh|||Li-Po|||2|||Orange, Blue, Green|||128GB,256GB|||6GB,8GB|||https://fdn2.gsmarena.com/vv/bigpic/meizu-16t.jpg
