model_name|||release_date|||body|||os|||storage_prnt|||display_size|||resolution|||camera_pixel|||pixel_unit|||video_pixel|||ram_prnt|||ram_unit|||chipset|||battery_size|||battery_unit|||battery_type|||sim_slots|||colors|||storage|||ram|||image
Nokia N85|||Released 2008, October|||128g, 16mm thickness|||Symbian OS 9.3, S60 rel. 3.2|||74MB storage, microSDHC slot|||2.6"|||240x320 pixels|||5|||MP|||480p|||MISSING|||MISSING|||MISSING|||1200|||mAh|||Li-Ion|||1|||Copper, Black|||74MB|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/nokia-n85.jpg
Nokia Lumia 735|||Released 2014, September|||134g, 8.9mm thickness|||Microsoft Windows Phone 8.1|||8GB storage, microSDXC|||4.7"|||720x1280 pixels|||6.7|||MP|||1080p|||1|||GB RAM|||Snapdragon 400|||2200|||mAh|||Li-Ion|||1|||Orange, green, white, black|||8GB|||1GB|||https://fdn2.gsmarena.com/vv/bigpic/nokia-lumia-735.jpg
Nokia 8800 Arte|||Released 2007, December|||150g, 14.6mm thickness|||Feature phone|||1GB storage, no card slot|||2.0"|||240x320 pixels|||3|||MP|||480p|||MISSING|||MISSING|||MISSING|||1000|||mAh|||Li-Ion|||1|||Black|||1GB|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/nokia-8800-arte.gif
Nokia Lumia 610 NFC|||Released 2012, September|||135g, 12mm thickness|||Microsoft Windows Phone 7.5 Mango|||8GB storage, no card slot|||3.7"|||480x800 pixels|||5|||MP|||480p|||256|||MB RAM|||Snapdragon S1|||1300|||mAh|||Li-Ion|||1|||Black, white|||8GB|||256MB|||https://fdn2.gsmarena.com/vv/bigpic/nokia-lumia-610-nfc.jpg
Nokia 2 V Tella|||Released 2020, October 21|||180g, 9.1mm thickness|||Android 10|||16GB storage, microSDXC|||5.45"|||720x1440 pixels|||8|||MP|||1080p|||2|||GB RAM|||Helio A22|||3000|||mAh|||Li-Po|||1|||Blue|||16GB|||2GB|||https://fdn2.gsmarena.com/vv/bigpic/nokia-2-v-tella.jpg
Nokia 3108|||Released 2003, Q4|||93g, 24mm thickness|||Feature phone|||No card slot|||1.45"|||128x128 pixels, 8 lines|||MISSING|||MISSING|||No video recorder|||MISSING|||MISSING|||MISSING|||760|||mAh|||Li-Ion|||1|||MISSING|||MISSING|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/no3108.gif
Nokia Lumia 900 AT&T|||Released 2012, April|||160g, 11.5mm thickness|||Microsoft Windows Phone 7.5 Mango|||16GB storage, no card slot|||4.3"|||480x800 pixels|||8|||MP|||720p|||512|||MB RAM|||Snapdragon S2|||1830|||mAh|||Li-Ion|||1|||Matte black, cyan, pink|||16GB|||512MB|||https://fdn2.gsmarena.com/vv/bigpic/nokia-lumia-900-black.jpg
Nokia 6021|||Released 2005, Q1|||88g, 20mm thickness|||Feature phone|||2.3MB storage, no card slot|||1.56"|||128x128 pixels|||MISSING|||MISSING|||No video recorder|||MISSING|||MISSING|||MISSING|||900|||mAh|||Li-Ion|||1|||Black|||2MB|||3MB|||https://fdn2.gsmarena.com/vv/bigpic/nokia-6021.gif
Nokia Lumia 720|||Released 2013, April|||128g, 9mm thickness|||Microsoft Windows Phone 8, up to 8.1|||8GB storage, microSDXC|||4.3"|||480x800 pixels|||6.7|||MP|||720p|||512|||MB RAM|||MSM8227|||2000|||mAh|||Li-Ion|||1|||White, Red, Yellow, Cyan/Black|||8GB|||512MB|||https://fdn2.gsmarena.com/vv/bigpic/nokia-lumia-720.jpg
Nokia Lumia 820|||Released 2012, November|||160g, 9.9mm thickness|||Microsoft Windows Phone 8, up to 8.1|||8GB storage, microSDXC|||4.3"|||480x800 pixels|||8|||MP|||1080p|||1|||GB RAM|||Snapdragon S4 Plus|||1650|||mAh|||Li-Ion|||1|||Black, Gray, Red, Yellow, White, Blue, Violet|||8GB|||1GB|||https://fdn2.gsmarena.com/vv/bigpic/nokia-lumia-820.jpg
