model_name|||release_date|||body|||os|||storage_prnt|||display_size|||resolution|||camera_pixel|||pixel_unit|||video_pixel|||ram_prnt|||ram_unit|||chipset|||battery_size|||battery_unit|||battery_type|||sim_slots|||colors|||storage|||ram|||image
OnePlus Nord N200 5G|||Released 2021, June 25|||189g, 8.3mm thickness|||Android 11, OxygenOS 11|||64GB storage, microSDXC|||6.49"|||1080x2400 pixels|||13|||MP|||1080p|||4|||GB RAM|||Snapdragon 480 5G|||5000|||mAh|||Li-Po|||1|||Blue Quantum|||64GB|||4GB|||https://fdn2.gsmarena.com/vv/bigpic/oneplus-nord-n200-5g.jpg
OnePlus 9R|||Released 2021, April 14|||189g, 8.4mm thickness|||Android 11, OxygenOS 11.2.4.4|||128GB/256GB storage, no card slot|||6.55"|||1080x2400 pixels|||48|||MP|||2160p|||8/12|||GB RAM|||Snapdragon 870 5G|||4500|||mAh|||Li-Po|||2|||Carbon Black, Lake Blue|||128GB,256GB|||8GB,12GB|||https://fdn2.gsmarena.com/vv/bigpic/oneplus-9r.jpg
OnePlus 8T|||Released 2020, October 16|||188g, 8.4mm thickness|||Android 11, OxygenOS 11.0.4|||128GB/256GB storage, no card slot|||6.55"|||1080x2400 pixels|||48|||MP|||2160p|||8/12|||GB RAM|||Snapdragon 865 5G|||4500|||mAh|||Li-Po|||2|||Aquamarine Green, Lunar Silver, Cyberpunk 2077 Edition|||128GB,256GB|||8GB,12GB|||https://fdn2.gsmarena.com/vv/bigpic/oneplus-8t.jpg
OnePlus Nord N100|||Released 2020, November 11|||188g, 8.5mm thickness|||Android 10, OxygenOS 10.5.9|||64GB storage, microSDXC|||6.52"|||720x1600 pixels|||13|||MP|||1080p|||4|||GB RAM|||Snapdragon 460|||5000|||mAh|||Li-Po|||2|||Midnight Frost|||64GB|||4GB|||https://fdn2.gsmarena.com/vv/bigpic/oneplus-nord-n100-.jpg
OnePlus X|||Released 2015, November|||138g / 160g, 6.9mm thickness|||Android 5.1.1, up to 6.0.1, OxygenOS 2.2.3|||16GB storage, microSDXC|||5.0"|||1080x1920 pixels|||13|||MP|||1080p|||3|||GB RAM|||Snapdragon 801|||2525|||mAh|||Li-Po|||2|||Onyx, Ceramic, Champagne|||16GB|||3GB|||https://fdn2.gsmarena.com/vv/bigpic/oneplus-x.jpg
OnePlus 6T McLaren|||Released 2018, December 13|||185g, 8.2mm thickness|||Android 9.0, up to Android 10, OxygenOS 10|||256GB storage, no card slot|||6.41"|||1080x2340 pixels|||20|||MP|||2160p|||10|||GB RAM|||Snapdragon 845|||3700|||mAh|||Li-Po|||2|||Speed Orange|||256GB|||10GB|||https://fdn2.gsmarena.com/vv/bigpic/oneplus-6t-mclaren-edition.jpg
OnePlus 8 5G UW (Verizon)|||Released 2020, April 29|||180g, 8mm thickness|||Android 10, OxygenOS 10.0|||128GB storage, no card slot|||6.55"|||1080x2400 pixels|||48|||MP|||2160p|||8|||GB RAM|||Snapdragon 865 5G|||4300|||mAh|||Li-Po|||1|||Onyx Black, Polar Silver|||128GB|||8GB|||https://fdn2.gsmarena.com/vv/bigpic/oneplus-8-5g-uw.jpg
OnePlus 6|||Released 2018, May 17|||177g, 7.8mm thickness|||Android 8.1, up to 11, OxygenOS 11.1.1.1|||64GB/128GB/256GB storage, no card slot|||6.28"|||1080x2280 pixels|||20|||MP|||2160p|||6/8|||GB RAM|||Snapdragon 845|||3300|||mAh|||Li-Po|||2|||Midnight Black, Mirror Black, Silk White, Amber Red|||64GB,128GB,256GB|||6GB,8GB|||https://fdn2.gsmarena.com/vv/bigpic/oneplus-6-red.jpg
OnePlus Nord 2 5G|||Released 2021, July 28|||189g, 8.3mm thickness|||Android 11, OxygenOS 11.3|||128GB/256GB storage, no card slot|||6.43"|||1080x2400 pixels|||50|||MP|||2160p|||6-12|||GB RAM|||Dimensity 1200 5G|||4500|||mAh|||Li-Po|||2|||Gray Sierra, Blue Haze, Green Wood, Pac-Man Edition|||128GB,256GB|||6GB,8GB,12GB|||https://fdn2.gsmarena.com/vv/bigpic/oneplus-nord-2-5g-new.jpg
OnePlus 3T|||Released 2016, November|||158g, 7.4mm thickness|||Android 6.0.1, up to Android 9.0|||64GB/128GB storage, no card slot|||5.5"|||1080x1920 pixels|||16|||MP|||2160p|||6|||GB RAM|||Snapdragon 821|||3400|||mAh|||Li-Ion|||2|||Gunmetal, Soft Gold, Midnight Black|||64GB,128GB|||6GB|||https://fdn2.gsmarena.com/vv/bigpic/oneplus-3t-.jpg
OnePlus 8|||Released 2020, April 21|||180g, 8mm thickness|||Android 10, up to Android 11, OxygenOS 11|||128GB/256GB storage, no card slot|||6.55"|||1080x2400 pixels|||48|||MP|||2160p|||6-12|||GB RAM|||Snapdragon 865 5G|||4300|||mAh|||Li-Po|||2|||Onyx Black, Glacial Green, Interstellar Glow, Polar Silver|||128GB,256GB|||6GB,8GB,12GB|||https://fdn2.gsmarena.com/vv/bigpic/oneplus-8.jpg
OnePlus 9 Pro|||Released 2021, March 30|||197g, 8.7mm thickness|||Android 11, up to Android 12, OxygenOS 12|||128GB/256GB storage, no card slot|||6.7"|||1440x3216 pixels|||50|||MP|||4320p|||8/12|||GB RAM|||Snapdragon 888 5G|||4500|||mAh|||Li-Po|||2|||Morning Mist, Forest Green, Stellar Black|||128GB,256GB|||8GB,12GB|||https://fdn2.gsmarena.com/vv/bigpic/oneplus-9-pro-.jpg
OnePlus 7T Pro 5G McLaren|||Released 2019, November 05|||206g, 8.8mm thickness|||Android 10, OxygenOS 10.0|||256GB storage, no card slot|||6.67"|||1440x3120 pixels|||48|||MP|||2160p|||12|||GB RAM|||Snapdragon 855+|||4085|||mAh|||Li-Po|||2|||Papaya Orange|||256GB|||12GB|||https://fdn2.gsmarena.com/vv/bigpic/oneplus-7t-pro-5g-mclaren-edition-.jpg
OnePlus One|||Released 2014, June|||162g, 8.9mm thickness|||Android 4.4.2, up to 6.0.1|||16GB/64GB storage, no card slot|||5.5"|||1080x1920 pixels|||13|||MP|||2160p|||3|||GB RAM|||Snapdragon 801|||3100|||mAh|||Li-Po|||1|||Silk White, Sandstone Black|||16GB,64GB|||3GB|||https://fdn2.gsmarena.com/vv/bigpic/oneplus-one.jpg
OnePlus 7 Pro|||Released 2019, May 16|||206g, 8.8mm thickness|||Android 9.0, up to 11, OxygenOS 11.0.4|||128GB/256GB storage, no card slot|||6.67"|||1440x3120 pixels|||48|||MP|||2160p|||6-12|||GB RAM|||Snapdragon 855|||4000|||mAh|||Li-Po|||2|||Mirror Grey, Almond, Nebula Blue|||128GB,256GB|||6GB,8GB,12GB|||https://fdn2.gsmarena.com/vv/bigpic/oneplus-7-pro-r1.jpg
OnePlus Nord CE 2 5G|||Released 2022, February 22|||173g, 7.8mm thickness|||Android 11, OxygenOS 11|||128GB storage, microSDXC|||6.43"|||1080x2400 pixels|||64|||MP|||2160p|||6/8|||GB RAM|||Dimensity 900 5G|||4500|||mAh|||Li-Po|||2|||Gray Mirror, Bahama Blue|||128GB|||6GB,8GB|||https://fdn2.gsmarena.com/vv/bigpic/oneplus-nord-ce-2-5g.jpg
OnePlus 10 Pro|||Released 2022, January 13|||200.5g, 8.6mm thickness|||Android 12.1, ColorOS 12.1|||128GB/256GB/512GB storage, no card slot|||6.7"|||1440x3216 pixels|||50|||MP|||4320p|||8/12|||GB RAM|||Snapdragon 8 Gen 1|||5000|||mAh|||Li-Po|||2|||Black, Green, Panda White (Extreme Edition)|||128GB,256GB,512GB|||8GB,12GB|||https://fdn2.gsmarena.com/vv/bigpic/oneplus-10-pro.jpg
OnePlus 5T|||Released 2017, November 21|||162g, 7.3mm thickness|||Android 7.1.1, up to 10, OxygenOS 10.0.0|||64GB/128GB storage, no card slot|||6.01"|||1080x2160 pixels|||16|||MP|||2160p|||6/8|||GB RAM|||Snapdragon 835|||3300|||mAh|||Li-Po|||2|||Midnight Black, Lava Red, Sandstone White|||64GB,128GB|||6GB,8GB|||https://fdn2.gsmarena.com/vv/bigpic/oneplus-5t.jpg
