model_name|||release_date|||body|||os|||storage_prnt|||display_size|||resolution|||camera_pixel|||pixel_unit|||video_pixel|||ram_prnt|||ram_unit|||chipset|||battery_size|||battery_unit|||battery_type|||sim_slots|||colors|||storage|||ram|||image
Sony Xperia 5 III|||Released 2021, October 08|||168g, 8.2mm thickness|||Android 11, up to Android 12|||128GB/256GB storage, microSDXC|||6.1"|||1080x2520 pixels|||12|||MP|||2160p|||8|||GB RAM|||Snapdragon 888 5G|||4500|||mAh|||Li-Po|||2|||Black, Green, Pink|||128GB,256GB|||8GB|||https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-5-iii.jpg
Sony Xperia T2 Ultra dual|||Released 2014, March|||171.8g, 7.7mm thickness|||Android 4.3, up to 5.1.1|||8GB storage, microSDHC|||6.0"|||720x1280 pixels|||13|||MP|||1080p|||1|||GB RAM|||Snapdragon 400|||3000|||mAh|||Li-Ion|||2|||Black, White, Purple|||8GB|||1GB|||https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-t2-ultra-ss.jpg
Sony Xperia XA2|||Released 2018, February|||171g, 9.7mm thickness|||Android 8.0|||32GB storage, microSDXC|||5.2"|||1080x1920 pixels|||23|||MP|||2160p|||3|||GB RAM|||Snapdragon 630|||3300|||mAh|||Li-Ion|||2|||Silver, Black, Blue, Pink|||32GB|||3GB|||https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-xa2-.jpg
Sony Xperia SP|||Released 2013, April|||155g, 10mm thickness|||Android 4.1, upgradаble to 4.3|||8GB storage, microSDHC|||4.6"|||720x1280 pixels|||8|||MP|||1080p|||1|||GB RAM|||Snapdragon S4 Pro|||2370|||mAh|||Li-Ion|||1|||Black, White, Red|||1GB,8GB|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/sony-xperia_sp.jpg
Sony CMD Z5|||Released 2000|||82g, 21mm thickness|||Feature phone|||No card slot||| |||96x72 pixels, 5 lines|||MISSING|||MISSING|||No video recorder|||MISSING|||MISSING|||MISSING|||500|||mAh|||Li-Ion|||1|||3 (Silver, Metallic Blue and Metallic Black)|||MISSING|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/soz5b.gif
Sony CMD J5|||Released 2000|||85g, 20mm thickness|||Feature phone|||No card slot||| |||96x92 pixels, 6 lines|||MISSING|||MISSING|||No video recorder|||MISSING|||MISSING|||MISSING|||540|||mAh|||Li-Ion|||1|||Silver|||MISSING|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/soj5.gif
Sony Xperia E|||Released 2013, March|||115.7g, 11mm thickness|||Android 4.1, Timescape UI|||4GB storage, microSDHC slot|||3.5"|||320x480 pixels|||3|||MP|||480p|||512|||MB RAM|||Snapdragon S1|||1530|||mAh|||Li-Ion|||1|||Black, Pink, White|||512MB,4GB|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-e.jpg
Sony SmartWatch 2 SW2|||Released 2013, October|||122.5g, 9mm thickness|||Android OS compatible|||No card slot|||1.6"|||220x176 pixels|||MISSING|||MISSING|||No video recorder|||MISSING|||MISSING|||MISSING|||225|||mAh|||Li-Ion|||1|||Leather Brown, Black, Silver|||MISSING|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/sony-smartwatch-2.jpg
Sony CMD Z1 plus|||Released 1997|||195g, 26mm thickness|||Feature phone|||No card slot||| |||97x32 pixels, 5 lines|||MISSING|||MISSING|||No video recorder|||MISSING|||MISSING|||MISSING|||600|||mAh|||Li-Ion|||1|||MISSING|||MISSING|||MISSING|||MISSING
Sony Xperia XA1 Plus|||Released 2017, October|||189g, 8.7mm thickness|||Android 7.0, up to Android 8.0|||32GB storage, microSDXC|||5.5"|||1080x1920 pixels|||23|||MP|||1080p|||3/4|||GB RAM|||Helio P20|||3430|||mAh|||Li-Ion|||2|||Black, Blue, Pink, Gold|||32GB|||3GB,4GB|||https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-xa1-plus.jpg
