model_name|||release_date|||body|||os|||storage_prnt|||display_size|||resolution|||camera_pixel|||pixel_unit|||video_pixel|||ram_prnt|||ram_unit|||chipset|||battery_size|||battery_unit|||battery_type|||sim_slots|||colors|||storage|||ram|||image
ZTE N280|||Released 2010|||130g, 14mm thickness|||Feature phone|||32MB storage, microSD slot|||2.8"|||240x320 pixels|||0.3|||MP|||144p|||MISSING|||MISSING|||MISSING|||MISSING|||MISSING|||Li-Ion|||2|||Black|||32MB|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/zte-n280.jpg
ZTE Max XL|||Released 2017, April|||180g, 9.4mm thickness|||Android 7.1.1|||16GB/32GB storage, microSDXC|||6.0"|||1080x1920 pixels|||13|||MP|||1080p|||2|||GB RAM|||Snapdragon 435|||3990|||mAh|||Li-Ion|||1|||Black|||16GB,32GB|||2GB|||https://fdn2.gsmarena.com/vv/bigpic/zte-max-xl.jpg
ZTE nubia Z5S mini NX403A|||Released 2013, December|||120g, 7.6mm thickness|||Android 4.2.2|||16GB storage, microSDHC|||4.7"|||720x1280 pixels|||13|||MP|||1080p|||2|||GB RAM|||Snapdragon 600|||2000|||mAh|||Li-Ion|||1|||White, Green, Pink, Yellow, Blue|||16GB|||2GB|||https://fdn2.gsmarena.com/vv/bigpic/zte-nubia-z5s-mini.jpg
ZTE Blade A610|||Released 2016, September|||8.2mm thickness|||Android 6.0|||8GB/16GB storage, microSDXC|||5.0"|||720x1280 pixels|||8|||MP|||1080p|||1/2|||GB RAM|||MT6735|||4000|||mAh|||Li-Ion|||2|||Shining Silver, Honor Gold, Space Grey|||8GB,16GB|||1GB,2GB|||https://fdn2.gsmarena.com/vv/bigpic/zte-a610.jpg
ZTE U900|||Released 2011, Q3|||MISSING|||Android-based OPhone 2.0|||microSD slot|||3.5"|||480x800 pixels|||3|||MP|||Video recorder|||MISSING|||MISSING|||MISSING|||MISSING|||MISSING|||Li-Ion|||1|||White|||MISSING|||MISSING|||MISSING
ZTE R228|||Released 2011, May|||67g, 11mm thickness|||Feature phone|||2MB storage, microSDHC slot|||2.0"|||176x220 pixels|||1.3|||MP|||No video recorder|||MISSING|||MISSING|||MISSING|||700|||mAh|||Li-Ion|||1|||Black, Pink|||2MB|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/ZTE-G-R228.jpg
ZTE R221|||Released 2010|||80g, 14mm thickness|||Feature phone|||5MB storage, microSD slot|||1.8"|||128x160 pixels|||0.3|||MP|||No video recorder|||MISSING|||MISSING|||MISSING|||1000|||mAh|||Li-Ion|||2|||Black|||5MB|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/zte-r221.jpg
ZTE F107|||Released 2010|||90g, 12.6mm thickness|||Feature phone|||35MB storage, microSDHC slot|||2.0"|||176x220 pixels|||2|||MP|||Video recorder|||MISSING|||MISSING|||MISSING|||MISSING|||MISSING|||Li-Ion|||1|||Black|||35MB|||MISSING|||MISSING
ZTE Grand X Max 2|||Released 2016, May|||8.9mm thickness|||Android 6.0|||16GB storage, microSDXC|||6.0"|||1080x1920 pixels|||13|||MP|||1080p|||2|||GB RAM|||Snapdragon 617|||3400|||mAh|||Li-Ion|||1|||Blue|||16GB|||2GB|||https://fdn2.gsmarena.com/vv/bigpic/zte-grand-x-max-2.jpg
ZTE Blade L2|||Released 2014, May|||166g, 9mm thickness|||Android 4.2|||4GB 1GB RAM storage, microSDHC slot|||5.0"|||480x854 pixels|||8|||MP|||Video recorder|||1|||GB RAM|||MT6582M|||2000|||mAh|||Li-Ion|||2|||White|||4GB|||1GB|||https://fdn2.gsmarena.com/vv/bigpic/zte-blade-l2.jpg
ZTE nubia Z11|||Released 2016, July|||162g, 7.5mm thickness|||Android 6.1, nubia UI 4|||64GB storage, microSDXC|||5.5"|||1080x1920 pixels|||16|||MP|||2160p|||4/6|||GB RAM|||Snapdragon 820|||3000|||mAh|||Li-Ion|||2|||Silver, Gray, Gold, Rose Gold|||64GB|||4GB,6GB|||https://fdn2.gsmarena.com/vv/bigpic/zte-nubia-z11-.jpg
ZTE Zmax 2|||Released 2015, September|||170.1g, 9.4mm thickness|||Android 5.1, up to 6.0.1|||16GB storage, microSDXC|||5.5"|||720x1280 pixels|||8|||MP|||1080p|||2|||GB RAM|||Snapdragon 410|||3000|||mAh|||Li-Ion|||1|||Black|||16GB|||2GB|||https://fdn2.gsmarena.com/vv/bigpic/zte-zmax2.jpg
ZTE Blade V|||Released 2013, October|||130g, 10.9mm thickness|||Android 4.1|||4GB 1GB RAM storage, microSDHC slot|||4.0"|||480x800 pixels|||5|||MP|||Video recorder|||1|||GB RAM|||Snapdragon S4 Play|||1800|||mAh|||Li-Ion|||1|||Black/Blue|||4GB|||1GB|||https://fdn2.gsmarena.com/vv/bigpic/zte-blade-4.jpg
ZTE F100|||Released 2009|||90g, 12.6mm thickness|||Feature phone|||microSDHC slot|||2.0"|||176x220 pixels|||2|||MP|||Video recorder|||MISSING|||MISSING|||MISSING|||1000|||mAh|||Li-Ion|||1|||White, Red, Green|||MISSING|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/zte-f100.jpg
ZTE Nova Messenger|||Released 2013, Q3|||95g, 10.3mm thickness|||Feature phone|||1GB ROM storage, To be confirmed slot|||2.0"|||320x240 pixels|||3|||MP|||Video recorder|||256|||MB RAM|||MISSING|||MISSING|||MISSING|||Li-Ion|||1|||Black|||256MB,1GB|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/zte-nova-messenger.jpg
ZTE Blade V7 Max|||Released 2016, August|||7.2mm thickness|||Android 6.0.1|||32GB storage, microSDXC|||5.5"|||1080x1920 pixels|||16|||MP|||Video recorder|||3/4|||GB RAM|||MISSING|||3000|||mAh|||Li-Ion|||2|||Black, Silver, Gold|||32GB|||3GB,4GB|||https://fdn2.gsmarena.com/vv/bigpic/zte-v7max.jpg
ZTE Star 1|||Released 2014, April|||130g, 6.6mm thickness|||Android 4.4.2|||16GB storage, microSDXC|||5.0"|||1080x1920 pixels|||8|||MP|||Video recorder|||2|||GB RAM|||Snapdragon 400|||2300|||mAh|||Li-Po|||1|||Pink, Black, White|||16GB|||2GB|||https://fdn2.gsmarena.com/vv/bigpic/zte-star-1.jpg
ZTE Score|||Released 2011, September|||122g, 12.5mm thickness|||Android 2.3.4|||512MB storage, microSDHC slot|||3.5"|||320x480 pixels|||3|||MP|||240p|||MISSING|||MISSING|||MISSING|||1200|||mAh|||Li-Ion|||1|||Black|||512MB|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/zte-score.jpg
ZTE nubia Red Magic 3|||Released 2019, May|||215g, 9.7mm thickness|||Android 9.0, up to Android 10, Redmagic 3.0|||64GB/128GB/256GB storage, no card slot|||6.65"|||1080x2340 pixels|||48|||MP|||4320p|||6-12|||GB RAM|||Snapdragon 855|||5000|||mAh|||Li-Po|||2|||Black, Red, Camouflage, Red/Blue|||64GB,128GB,256GB|||6GB,8GB,12GB|||https://fdn2.gsmarena.com/vv/bigpic/nubia-red-magic-3.jpg
ZTE nubia Z17s|||Released 2017, October|||170g, 8.5mm thickness|||Android 7.1.1, nubia UI 5.1|||64GB/128GB storage, no card slot|||5.73"|||1080x2040 pixels|||23|||MP|||2160p|||6/8|||GB RAM|||Snapdragon 835|||3100|||mAh|||Li-Po|||2|||Aurora Blue, Black Gold|||64GB,128GB|||6GB,8GB|||https://fdn2.gsmarena.com/vv/bigpic/zte-nubia-z17s.jpg
ZTE Grand X2|||Released 2015, August|||145g, 9.3mm thickness|||Android 5.1|||16GB storage, microSDHC|||5.0"|||720x1280 pixels|||8|||MP|||1080p|||2|||GB RAM|||Snapdragon 400|||2480|||mAh|||Li-Ion|||1|||Black|||16GB|||2GB|||https://fdn2.gsmarena.com/vv/bigpic/zte-grand-x2-new.jpg
ZTE FTV Phone|||Released 2011, December|||110g, 11.8mm thickness|||Android 2.2|||512MB RAM storage, microSDHC slot|||3.5"|||480x800 pixels|||3|||MP|||144p|||512|||MB RAM|||Snapdragon S1|||1250|||mAh|||Li-Ion|||1|||White, Black, Gold|||512MB|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/zte-blade-ftv-phone.jpg
